68.183.154.2"-"01/Feb/2019:00:01:25 +0100"GET / HTTP/1.0"200"48333"-"Mozilla/5.0 (compatible; NetcraftSurveyAgent/1.0; +info@netcraft.com)
18.195.35.180"-"01/Feb/2019:00:05:28 +0100"GET /robots.txt HTTP/1.1"404"5146"-"Mozilla/5.0 (compatible; Cliqzbot/2.0; +http://cliqz.com/company/cliqzbot)
18.195.35.180"-"01/Feb/2019:00:05:30 +0100"GET /post/co-grozi-za-handel-podrobkami HTTP/1.1"200"9889"-"Mozilla/5.0 (compatible; Cliqzbot/2.0; +http://cliqz.com/company/cliqzbot)
216.244.66.250"-"01/Feb/2019:00:08:09 +0100"GET /robots.txt HTTP/1.1"404"32420"-"Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)
66.102.9.45"-"01/Feb/2019:00:48:19 +0100"GET /post/kiedy-powstaja-dochody-nieujawnione HTTP/1.1"200"7318"https://www.google.com/"Mozilla/5.0 (Linux; Android 8.0.0; SM-A600FN) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36
40.77.167.5"-"01/Feb/2019:00:57:57 +0100"GET /tags/przedawnienie%20hipoteki%20przymusowej HTTP/1.1"200"6034"-"Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
88.156.133.248"-"01/Feb/2019:01:26:41 +0100"GET /favicon.ico HTTP/1.1"404"5145"-"Mozilla/5.0 (Windows NT 6.1; rv:64.0) Gecko/20100101 Firefox/64.0
37.47.37.11"-"01/Feb/2019:01:31:49 +0100"GET /post/co-grozi-za-handel-podrobkami HTTP/1.1"200"9892"https://www.google.pl/"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1
93.158.166.4"-"01/Feb/2019:01:50:01 +0100"GET /robots.txt HTTP/1.1"404"32420"-"Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)
95.108.181.96"-"01/Feb/2019:01:50:01 +0100"GET /robots.txt HTTP/1.1"404"32420"-"Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)
93.158.166.4"-"01/Feb/2019:01:50:05 +0100"GET / HTTP/1.1"200"8519"-"Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)
216.244.66.250"-"01/Feb/2019:02:33:08 +0100"GET /robots.txt HTTP/1.1"404"32420"-"Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)
216.244.66.250"-"01/Feb/2019:03:21:20 +0100"GET /robots.txt HTTP/1.1"404"32420"-"Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)
